LEMMA,DEFINITION,EXAMPLE,POS
shattering,seemingly loud enough to break something; violently rattling or clattering,shattering rain striking the windowpanes,s
hour,clock time,the hour is getting late,n
competition,a business relation in which two parties compete to gain customers,business competition can be fiendish at times,n
error-prone,capable of making an error,all men are error-prone,s
skeleton,something reduced to its minimal form,the battalion was a mere skeleton of its former self,n
galvanization,stimulation that arouses a person to lively action,the unexpected news produced a kind of galvanization of the whole team,n
new,other than the former one(s); different,they now have a new leaders,s
ethereal,characterized by unusual lightness and delicacy,this smallest and most ethereal of birds,s
promise,grounds for feeling hopeful about the future,there is little or no promise that he will recover,n
full-blooded,of unmixed ancestry,full-blooded Native American,s
hangover,something that has survived from the past,hangovers from the 19th century,n
dash,add an enlivening or altering element to,blue paint dashed with white,v
utilization,the act of using,skilled in the utilization of computers,n
remote,far apart in relevance or relationship or kinship,a remote relative,a
dry,(of liquor) having a low residual sugar content because of decomposition of sugar during fermentation,a dry Bordeaux,a
absoluteness,the quality of being absolute,the absoluteness of the pope's decree could not be challenged,n
water-repellent,hindering the penetration of water,a water-repellent coat,s
hallowed,worthy of religious veneration,Jerusalem's hallowed soil,s
interdisciplinary,drawing from or characterized by participation of two or more fields of study,an interdisciplinary conference,a
machine,an intricate organization that accomplishes its goals efficiently,the war machine,n
unscientifically,in an unscientific way; not according to the principles of science,they proceeded unscientifically when they dissected the mummy,r
guru,a recognized leader in some field or of some movement,a guru of genomics,n
immunodeficient,incapable of developing an immune response following exposure to an antigen,immunodeficient rodents,a
interchangeable,capable of replacing or changing places with something else; permitting mutual substitution without loss of function or suitability,"interchangeable electric outlets"" ""interchangeable parts",s
unspecific,not detailed or specific,felt an unspecific dread,s
conjoined,consisting of two or more associated entities,the interplay of these conjoined yet opposed factors,s
multiplication,a multiplicative increase,repeated copying leads to a multiplication of errors,n
arrogant,having or showing feelings of unwarranted importance out of overbearing pride,an arrogant official,s
words,an angry dispute,they had words,n
naughtily,in a disobedient or naughty way,behaved naughtily when they had guests and was sent to his room,r
nakedly,without clothing,Henriette saw the weaving figure of an Apache warrior reel nakedly on a pony and rush by with a rifle raised,r
front,the part of something that is nearest to the normal viewer,he walked to the front of the stage,n
encyclopedic,broad in scope or content,encyclopedic knowledge,s
surreal,resembling a dream,as irrational and surreal as a dream,s
prescriptive,pertaining to giving directives or rules,prescriptive grammar is concerned with norms of or rules for correct usage,a
active,in operation,an active tradition,s
liberty,freedom of choice,liberty--perfect liberty--to think or feel or do just as one pleases,n
inappropriateness,the quality of being not particularly suitable or befitting,he retracted nothing that he had said about the inappropriateness of either a corporeal God or a God who is a person,n
similar,marked by correspondence or resemblance,problems similar to mine,a
down,to a lower intensity,he slowly phased down the light until the stage was completely black,r
imposed,set forth authoritatively as obligatory,rules imposed by society,s
clear,allowing light to pass through,clear glass,a
protecting,shielding (or designed to shield) against harm or discomfort,the protecting blanket of snow,s
dismal,causing dejection,the first dismal dispiriting days of November,s
dry,having no adornment or coloration,dry facts,s
forlornly,in a forlorn manner,a single chicken was scratching forlornly in the yard,r
petticoated,wearing or furnished with a petticoat,a petticoated table,s
inside,within a building,in winter we play inside,r
extension,a mutually agreed delay in the date set for the completion of a job or payment of a debt,they applied for an extension of the loan,n
ostensible,represented or appearing as such; pretended,"His ostensible purpose was charity, his real goal popularity",s
soft,using evidence not readily amenable to experimental verification or refutation,the soft sciences,s
